Sensor,gyroscope,gyroscope,gyroscope,gyroscope,accelerometer,accelerometer,accelerometer,accelerometer,rotation_vector,rotation_vector,rotation_vector,rotation_vector,linear_acceleration,linear_acceleration,linear_acceleration,linear_acceleration,gravity,gravity,gravity,gravity
Axis,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w
3581726975144,-0.61758476,0.09896017,0.20647246,,3.4739866,6.50744,-7.632715,,0.4782008,-0.79255253,-0.19516945,0.3241811,0.26524305,0.43308926,-0.63438606,,3.2087436,6.074351,-6.998329,
3581751469567,-0.77763146,0.28955013,0.27488935,,4.5298295,6.600814,-6.576872,,0.4752893,-0.7917073,-0.19834334,0.32857192,0.57522106,0.39095736,-0.20992136,,3.2531075,6.142819,-6.9176173,
3581767969259,-0.5644395,-0.030543262,0.03848451,,5.7628436,6.885724,-5.5880666,,0.4708954,-0.7901855,-0.20283066,0.33574435,2.4327347,0.64135265,1.2007957,,3.330109,6.2443714,-6.788862,
3581784345528,-0.26083946,-0.50335294,-0.2968805,,6.1770406,6.8641763,-5.1571107,,0.46939537,-0.78959507,-0.20654382,0.336968,2.860087,0.56326246,1.5857925,,3.3169537,6.300914,-6.742903,
3581808627144,0.089186326,-0.8723156,-0.53878313,,5.913678,6.847417,-5.3941364,,0.4709055,-0.78975046,-0.21276046,0.33056796,2.7583663,0.49871063,1.3814311,,3.1553118,6.3487062,-6.7755675,
3581824959913,0.4288274,-1.1655309,-0.7800749,,6.007052,6.682217,-6.117185,,0.47436517,-0.79039824,-0.21635047,0.32162207,3.0340602,0.3359542,0.74260044,,2.9729917,6.346263,-6.8597856,
3581849455297,0.7049385,-1.4141531,-1.1911873,,5.3821654,6.303933,-6.2967505,,0.48065686,-0.79035646,-0.21951865,0.31002814,3.1796324,0.076509,0.5670624,,2.73644,6.3255863,-6.9763403,
3581890265182,1.0262536,-1.6872098,-1.7122552,,3.5194764,5.195418,-7.465121,,0.5095977,-0.7861031,-0.22835495,0.26496422,1.7166209,-0.97366476,-0.058197975,,1.8028555,6.1690826,-7.406923,
3581906813336,1.1856894,-2.058005,-1.9596558,,2.8778305,4.3718123,-7.469909,,0.52091295,-0.783629,-0.23184143,0.24662706,1.4559661,-1.7112312,0.089541435,,1.4218644,6.0830436,-7.5594506,
3581914761643,1.1856894,-2.058005,-1.9596558,,2.6360161,3.881001,-7.52737,,0.52091295,-0.783629,-0.23184143,0.24662706,1.4559661,-1.7112312,0.089541435,,1.4218644,6.0830436,-7.5594506,
