Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
635027099487056,-0.0133576095,0.11098972,-0.06518841,0.021978972,-0.009975714,-0.060906615
635027263002747,1.4031909,0.40245372,0.5310612,0.02043443,-0.013029419,-0.08595822
635027426485439,-1.7105237,-0.5024691,0.70254993,0.03706483,-0.0047358726,-0.13816752
635027590037746,0.22040857,0.2220102,0.020562172,0.04505766,-0.015455929,-0.14672668
635027753548130,-3.058581,-1.0136969,0.8490963,0.038563326,-0.013371199,-0.18385445
635027917074629,-0.60545415,0.17185158,0.16097069,0.049287405,0.027804127,-0.1574046
635028080636667,0.4255358,0.3105253,-0.67543507,0.06986674,0.01522643,-0.11200751
635028244153320,0.26150376,-0.640184,-0.5652437,0.06934265,0.051254783,-0.0629228
635028407653666,0.69707584,-0.3346678,-0.17285347,0.07533604,0.066575564,-0.0041036606
635028571122973,0.37624335,-0.5090486,0.17739677,0.073110975,0.08066671,0.051530644
635028734627549,0.77226985,-0.115453124,0.32353115,0.07083645,0.022166757,0.09429632
635028898152510,0.7522994,0.11674428,0.6156149,0.04766525,0.03908596,0.14581566
635029061681471,0.42693692,-0.4691494,0.4414425,0.023818206,0.04907891,0.18532099
635029225200394,1.1971477,0.2512573,0.2588024,0.016586008,0.059335504,0.21306838
635029388660855,0.93389106,0.11898899,-0.805809,0.019798191,0.056576967,0.22568017
635029552190854,0.83399606,-0.31307727,-0.9974041,-0.00374821,0.069257244,0.21446861
635029715700661,0.39374876,-0.1865597,0.6531563,-0.023817653,0.068251215,0.2145691
635029879199353,1.6526618,0.3370275,1.2444639,-0.0018317136,0.059246287,0.22627366
635030042753083,0.39402902,0.26753414,0.15901184,0.027561467,0.040129412,0.22345166
635030206269390,-0.3983466,0.25964403,-0.6385975,0.05304382,0.04166938,0.19032672
635030369790966,-0.7306752,-0.42259604,-0.42231655,0.05545355,0.06290648,0.122801535
635030533263466,-0.074350536,-0.25729108,0.03855133,0.04417308,0.053121924,0.07707732
