Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
656553779811835,0.1824046,-0.11380644,0.09588432,-0.010717199,0.0036215035,0.8031759
656553804400989,0.06385863,0.1864186,0.09109497,-0.010690361,0.0036945103,0.80980015
656553828945374,-0.5326551,0.34874463,0.08158207,-0.010761451,0.0039214175,0.8164736
656553845305527,-0.49402067,0.24814346,0.09617329,-0.011024915,0.004602022,0.82074755
656553869866143,-0.40406173,0.1581938,0.09427452,-0.01158542,0.0058115073,0.82645345
656553886269796,-0.44619414,0.15364654,0.089990616,-0.012139809,0.0068070563,0.8299698
656553902661873,-0.31791952,0.05590374,0.08098602,-0.012728575,0.0078024333,0.8333492
656553927220950,-0.3043986,-0.13185723,0.14641857,-0.013593407,0.0088499095,0.8382352
656553943574950,-0.06371823,-0.17119546,0.12530994,-0.014121948,0.009276588,0.8415997
656553959913104,0.056905687,0.07480029,0.14944649,-0.0143436445,0.009472957,0.8449541
656553976316950,0.44623828,0.008238234,0.19259739,-0.014352173,0.009605992,0.84840506
656553992697373,0.43297315,-0.13454692,0.11346817,-0.014009312,0.009466834,0.85423124
656554017247219,0.19208749,-0.3057709,0.09410858,-0.013906588,0.009391138,0.8587116
656554033622411,0.22421914,-0.3359303,0.06773281,-0.013828337,0.009402295,0.8631389
656554058201488,0.1944154,-0.46943873,-0.07833767,-0.013785729,0.009396376,0.86911076
656554074562065,0.6178006,-0.06237574,0.11781597,-0.013615376,0.0091782855,0.87220365
656554099111719,0.47368652,-0.29957762,0.055243492,-0.0132358475,0.008829481,0.87611824
656554123660565,-0.10215059,-0.25690302,0.059844017,-0.013033593,0.00858461,0.88038063
656554140046065,0.26993895,-0.34113017,0.090851784,-0.012809959,0.008263196,0.8856105
656554164611795,-0.45915177,-0.61024886,0.12657833,-0.012768726,0.008064549,0.8890975
656554189165372,-0.81144786,-0.4642067,0.12663364,-0.013019882,0.007835882,0.8949489
656554205503449,-0.44418943,-0.19740577,0.07884884,-0.013396238,0.007688314,0.90198797
656554230103680,-0.038279235,-0.011898318,0.1196661,-0.013548336,0.0076398468,0.90671164
656554246477872,-0.07710698,-0.012249825,0.098184586,-0.013662743,0.007654247,0.9113829
656554262839949,-0.21671924,0.02746914,0.114997864,-0.013762955,0.0076553174,0.91373456
656554279211218,-0.15137815,0.10203815,0.105540276,-0.013907321,0.0077899788,0.92085683
656554295606679,0.0034048855,0.18605143,0.043434143,-0.014099842,0.00791119,0.9255527
656554320146025,0.6157754,0.05834671,0.14154911,-0.013906722,0.00809911,0.932127
656554336503025,0.32154483,0.02329053,0.16770172,-0.013553709,0.0081186695,0.93617773
656554352871256,0.08199322,0.014527861,0.076535225,-0.013182264,0.008144849,0.9400492
656554377452564,0.07536191,-0.10668069,-0.000289917,-0.01273526,0.008195723,0.9455329
656554393838871,0.18923274,-0.2058023,0.06660175,-0.01248608,0.008126873,0.9489758
656554418393833,0.17157269,-0.26181066,0.08061218,-0.011979705,0.0077659995,0.95412844
656554442911640,0.2047929,-0.1251222,0.08013821,-0.011320819,0.0071754,0.95938367
656554459295525,0.22002977,-0.1992541,0.10617733,-0.010894863,0.006764914,0.96268415
656554483868448,0.14964187,-0.23348561,0.09374046,-0.010216606,0.0060329563,0.9670829
656554508416294,-0.6190768,0.007825114,0.10314083,-0.009964375,0.0056957323,0.97078425
656554532936832,-0.44925624,0.041523606,0.110349655,-0.009981312,0.0057832943,0.9740294
656554557534640,-0.36655444,-0.06583102,0.0769434,-0.010194515,0.0059078177,0.97698486
656554590251601,0.2214576,-0.2144925,0.10141277,-0.0114751505,0.0058339327,0.980813
656554614795986,0.68526876,-0.31792545,0.09885502,-0.0113188,0.0054129944,0.98333997
656554631180255,1.0444181,-0.42777205,0.115044594,-0.0103893755,0.004515166,0.9847913
656554647574101,1.0389575,-0.41315982,0.16720486,-0.009386573,0.003760393,0.98598194
656554672123716,-0.24588008,-0.19463238,0.1430378,-0.008886954,0.0034263993,0.9875598
656554688461909,-0.6372069,0.016585909,0.12860584,-0.008743179,0.0033025867,0.9887788
656554713037870,-0.63800263,0.17585194,0.12860584,-0.008728569,0.0033411414,0.9909552
656554729419909,-0.23338714,0.17763343,0.066370964,-0.008749995,0.0033860093,0.99252176
656554753973139,0.3038302,0.10447654,0.17890072,-0.008707683,0.0035168577,0.99471265
656554778493447,0.14530107,-0.04491449,0.09268856,-0.008597246,0.0036386186,0.9963929
656554803086524,0.055981524,-0.21470954,0.13336277,-0.008477317,0.0037277194,0.9975808
656554819421254,-0.16157869,-0.24778256,0.10221481,-0.008398055,0.0037452907,0.99815243
656554835794331,-0.5411626,-0.17940092,0.016008377,-0.0083595505,0.0037262363,0.9986124
656554852151139,-0.969828,-0.16818132,0.092666626,-0.00850472,0.0037012554,0.9990013
656554876720831,-0.43393624,-0.20233455,0.1119442,-0.008899373,0.0036259051,0.9995073
656554901281023,0.29302514,-0.19251126,0.11484337,-0.010505725,0.0027716411,0.9998279
656554917657716,0.554802,-0.17638268,0.14117527,-0.0105741415,0.002459338,0.9999261
656554942167523,0.019535303,-0.034476705,0.05249691,0.010413107,-0.0021656656,-0.99991345
656554966777638,-0.47985157,0.1630573,0.12669373,0.01037108,-0.0020896953,-0.9997243
656554983147754,-0.4864171,0.26532316,0.18188858,0.010670217,-0.0021423607,-0.99948466
656554999508215,-0.13740286,0.20356634,0.06480312,0.011164692,-0.0023609116,-0.99913764
656555024025177,0.44282585,-0.041078128,0.11035824,0.011260612,-0.0025871785,-0.9984657
656555040422869,0.30598763,-0.10374457,0.009758949,0.011152428,-0.002635382,-0.9979258
656555056778292,-0.09346859,0.14339429,0.07917595,0.011089666,-0.0027547523,-0.99729055
656555097672484,0.26470083,-0.22697717,0.08153343,0.010924752,-0.0030560754,-0.99498606
656555114067369,-0.18404597,-0.5020257,0.115068436,0.010932186,-0.0031649463,-0.9937838
656555138634445,0.84877646,-0.33008617,0.12200737,0.010410843,-0.0029589217,-0.99185
656555163177215,1.9056381,-0.68746805,0.15981293,0.009226774,-0.0025377085,-0.9901567
656555179509868,3.29861,-0.51116294,0.20738125,0.0083434135,-0.002415368,-0.9893647
656555195884522,0.045878142,0.20736873,0.09459877,0.0075338986,-0.0023791362,-0.98901105
656555212270907,-0.00453867,-0.042853795,0.08248615,0.0070395754,-0.0023802544,-0.9887387
656555236822099,-0.62891805,-0.10036887,0.06317139,0.006450661,-0.0023306753,-0.9882988
656555261371907,-0.74446326,0.23729452,0.106230736,0.006317567,-0.0022968068,-0.9869786
656555277769791,-0.57558376,0.38470015,0.106225014,0.006291415,-0.0023008955,-0.9854775
656555302305714,-0.014353029,0.1300209,0.11820316,0.0062904814,-0.0023714928,-0.9824447
656555318661791,0.03823117,-0.023563355,0.09427929,0.006342125,-0.0024334707,-0.98011535
656555343213445,0.066232026,-0.11214167,0.09186745,0.0062546274,-0.0024747632,-0.9764777
656555359610906,-0.033304423,-0.15918699,0.070316315,0.0062316624,-0.0024976814,-0.9740031
656555375999098,-0.14709379,-0.09046569,0.1014328,0.0062042545,-0.0024809102,-0.97151005
